,0,1,accuracy,macro avg,weighted avg
toxic,"{'precision': 0.9685642628920879, 'recall': 0.9769891876906016, 'f1-score': 0.9727584838603937, 'support': 28856.0}","{'precision': 0.7635327635327636, 'recall': 0.7008826413860739, 'f1-score': 0.7308675643429351, 'support': 3059.0}",0.9505248315838947,"{'precision': 0.8660485132124257, 'recall': 0.8389359145383377, 'f1-score': 0.8518130241016644, 'support': 31915.0}","{'precision': 0.9489123325602636, 'recall': 0.9505248315838947, 'f1-score': 0.9495736390286874, 'support': 31915.0}"
severe_toxic,"{'precision': 0.9954531001589825, 'recall': 0.9908532725661476, 'f1-score': 0.9931478602924848, 'support': 31596.0}","{'precision': 0.37849462365591396, 'recall': 0.5517241379310345, 'f1-score': 0.4489795918367347, 'support': 319.0}",0.9864640451198496,"{'precision': 0.6869738619074482, 'recall': 0.771288705248591, 'f1-score': 0.7210637260646098, 'support': 31915.0}","{'precision': 0.9892864150891257, 'recall': 0.9864640451198496, 'f1-score': 0.9877087351902638, 'support': 31915.0}"
obscene,"{'precision': 0.9837170129140932, 'recall': 0.985409429280397, 'f1-score': 0.9845624938018578, 'support': 30225.0}","{'precision': 0.7307692307692307, 'recall': 0.7082840236686391, 'f1-score': 0.7193509615384616, 'support': 1690.0}",0.9707347642174526,"{'precision': 0.857243121841662, 'recall': 0.8468467264745181, 'f1-score': 0.8519567276701596, 'support': 31915.0}","{'precision': 0.9703226293381941, 'recall': 0.9707347642174526, 'f1-score': 0.9705187059426963, 'support': 31915.0}"
threat,"{'precision': 0.9981778769124439, 'recall': 0.99855432288884, 'f1-score': 0.9983660644147683, 'support': 31819.0}","{'precision': 0.4523809523809524, 'recall': 0.3958333333333333, 'f1-score': 0.4222222222222222, 'support': 96.0}",0.9967413441955193,"{'precision': 0.7252794146466981, 'recall': 0.6971938281110867, 'f1-score': 0.7102941433184953, 'support': 31915.0}","{'precision': 0.9965361252359587, 'recall': 0.9967413441955193, 'f1-score': 0.9966330295142362, 'support': 31915.0}"
insult,"{'precision': 0.9830698656810006, 'recall': 0.9818061964403427, 'f1-score': 0.982437624709355, 'support': 30340.0}","{'precision': 0.6579925650557621, 'recall': 0.6742857142857143, 'f1-score': 0.6660395108184384, 'support': 1575.0}",0.9666301112329626,"{'precision': 0.8205312153683814, 'recall': 0.8280459553630285, 'f1-score': 0.8242385677638967, 'support': 31915.0}","{'precision': 0.9670273543701828, 'recall': 0.9666301112329626, 'f1-score': 0.9668234298361545, 'support': 31915.0}"
identity_hate,"{'precision': 0.9961040195115771, 'recall': 0.9941202503635329, 'f1-score': 0.9951111462700736, 'support': 31634.0}","{'precision': 0.45930232558139533, 'recall': 0.5622775800711743, 'f1-score': 0.5056, 'support': 281.0}",0.9903180322732258,"{'precision': 0.7277031725464862, 'recall': 0.7781989152173536, 'f1-score': 0.7503555731350369, 'support': 31915.0}","{'precision': 0.9913776752849006, 'recall': 0.9903180322732258, 'f1-score': 0.9908011781641081, 'support': 31915.0}"
